filename,id,size,rows,cols,sort_time,max_time,min_time
data/Checkouts_By_Title_Data_Lens_2005.csv,29,273086150,3794727,6,16.217,2.7969999999999997,2.2880000000000003
data/CrowdsCureCancer2017Annotations.csv,33,947066,2346,20,0.078,0.006,0.005
data/HAM10000_metadata.csv,40,563277,10016,7,0.067,0.006,0.006
data/IRAhandle_tweets_10.csv,43,94371854,257112,21,2.135,0.29600000000000004,0.201
data/Iowa_Liquor_Sales.csv,42,3466579785,37768482,24,295.675,46.511,21.462
data/Iris.csv,44,5107,151,6,0.022000000000000002,0.002,0.002
data/Reviews.csv,51,300904694,568455,10,5.138,0.687,0.649
data/UserAnimeList.csv,53,4996952961,80329325,11,277.998,69.52600000000001,36.969
data/UserList.csv,54,30456333,302677,17,1.031,0.159,0.156
data/Video_Games_Sales_as_at_22_Dec_2016.csv,57,1618040,16720,16,0.109,0.015,0.012
data/adult.csv,19,4104734,32562,15,0.304,0.027999999999999997,0.027999999999999997
data/anime_cleaned.csv,20,6326231,6669,33,0.193,0.012,0.011000000000000001
data/anime_filtered.csv,21,10332849,14475,31,0.3,0.016,0.016
data/animelists_cleaned.csv,23,2263111611,31399564,11,137.636,23.17,15.458
data/animelists_filtered.csv,24,2265068130,35929555,11,190.209,34.009,17.058
data/athlete_events.csv,25,41500688,271117,15,1.2409999999999999,0.221,0.22399999999999998
data/austria.csv,26,188152019,2804995,11,8.228,1.425,1.121
data/bitcoin_cash_price.csv,27,16300,214,7,0.021,0.002,0.002
data/checkouts-by-title.csv,28,7236929603,33156892,11,371.038,77.43299999999998,55.922
data/column_2C_weka.csv,30,24961,311,7,0.025,0.002,0.002
data/country_stats.csv,31,20558,175,13,0.016,0.002,0.002
data/creditcard.csv,32,150828752,284808,31,2.073,0.38,0.405
data/cv-invalid.csv,34,2361277,25404,8,0.228,0.019,0.015
data/data.csv,35,9140113,18208,89,0.18600000000000003,0.019,0.026000000000000002
data/emails.csv,36,1426122219,33834245,2,220.2,24.448,15.206
data/falldeteciton.csv,37,625610,16383,7,0.09300000000000001,0.008,0.008
data/feature_tbl.csv,38,4101,71,4,0.061,0.003,0.002
data/googleplaystore.csv,39,1360155,10841,13,0.124,0.008,0.008
data/indian_liver_patient.csv,41,23930,584,11,0.03,0.002,0.002
data/library-collection-inventory.csv,45,8379016288,25491285,13,755.577,81.839,78.71300000000001
data/loan.csv,46,1189395649,2260669,145,26.493000000000002,8.92,1.749
data/movies_metadata.csv,47,34445126,45572,24,0.93,0.048,0.046
data/nyc-rolling-sales.csv,48,13625843,84549,22,1.141,0.059000000000000004,0.069
data/parking-citations.csv,49,1299825155,9217480,19,80.158,15.925999999999998,5.9
data/player_data.csv,50,346695,4551,8,0.141,0.006999999999999999,0.005
data/speakers_all.csv,52,158657,2173,12,0.022000000000000002,0.004,0.006
data/users_cleaned.csv,55,15747949,108713,17,0.7040000000000001,0.069,0.066
data/users_filtered.csv,56,13628577,116135,17,0.67,0.09300000000000001,0.096
data/winemag-data-130k-v2.csv,58,52908706,129976,14,1.3969999999999998,0.244,0.132
