script_id, sort_num, sort_size, sort_rows, min_num, min_size, min_rows, max_num, max_size, max_rows, grep_num, grep_size, grep_rows, total_size
73,4,26608283165,80747612,0,0,0,0,0,0,0,0,0,26608283165
74,1,52908706,129976,1,150828752,284808,3,8818730686,26817749,1,13625843,84549,9036093987
75,0,0,0,4,12527556409,40749769,3,96643519,626997,0,0,0,12624199928
76,1,20665698,28950,0,0,0,2,21291308,45333,1,1894132,4692,43851138
77,1,34445126,45572,1,8818698086,26817321,1,6326231,6669,3,18515191402,59026962,27374660845
78,2,2852268368,67669074,1,188152019,2804995,2,1504593201,12131556,0,0,0,4545013588
79,0,0,0,2,9197450822,29245665,0,0,0,2,1330067025,9411110,10527517847
80,1,41500688,271117,3,1916780344,36977932,2,17720397548,54176876,1,2263111611,31399564,21941790191
81,2,602819365,1146609,3,677755202,1453599,1,20665698,28950,0,0,0,1301240265
82,1,601809388,1136910,3,4312811783,101548307,0,0,0,2,8820058241,26828162,13734679412
83,0,0,0,4,892358596,5351679,1,1360155,10841,0,0,0,893718751
84,1,8818698086,26817321,2,11197489384,31338659,1,83001376,542234,1,407656749,2601453,20506845595
85,1,2852244438,67668490,2,47826919,277786,0,0,0,3,55278838,150516,2955350195
86,2,3142295374,9426352,2,14635820,94248,2,752638140,1421718,1,20665698,28950,3930235032
87,2,797949202,4950586,1,52908706,129976,1,1316441182,9326561,2,17788224924,53919450,19955524014
88,2,1752164,36415,1,20665698,28950,1,6326231,6669,1,2852244438,67668490,2880988531
89,0,0,0,1,625610,16383,2,2392417141,4605887,1,378752736,2428344,2771795487
90,0,0,0,0,0,0,3,41396967,68624,2,35805281,56413,77202248
91,1,188152019,2804995,1,34445126,45572,1,2263111611,31399564,1,8818698086,26817321,11304406842
92,0,0,0,1,83001376,542234,2,2392417141,4605887,4,3215777683,39119272,5691196200
93,2,17638406149,53644341,1,23930,584,2,2413940363,31684372,1,4722554,50808,20057092996
94,3,1370036018,6092732,0,0,0,0,0,0,4,5725170874,135366144,7095206892
95,3,9227364812,29428473,0,0,0,2,602935942,1156942,1,601809388,1136910,10432110142
96,1,6326231,6669,4,2435612286,37573192,1,407656749,2601453,1,83001376,542234,2932596642
97,1,34445126,45572,2,17678896860,53905759,1,150828752,284808,0,0,0,17864170738
98,2,2461792674,5063572,0,0,0,1,16300,214,1,1894132,4692,2463703106
99,1,16300,214,1,34445126,45572,1,2378791298,4521338,1,4722554,50808,2417975278
100,1,625610,16383,1,1316441182,9326561,0,0,0,2,152722884,289500,1469789676
